image,plate_index,detection_index,gt_text,match,det_score,estimated_type,decoded_type,plate_subtype,plate_type,plate_text,valid,invalid_reason,raw_text,lpr_score,beam_score,crop_path,crop_width,crop_height,x1,y1,x2,y2
fenqusai/test_photo/000000109.jpg,0,0,,,0.723665714263916,green,green,,green,鄂H02143D,True,,鄂H02143D,0.9999993973341792,-1.0847988043849455e-05,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000109_plate0.jpg,124,39,5,11,113,40
fenqusai/test_photo/000000110.jpg,0,0,,,0.5963878631591797,green,green,,green,晋R40096F,True,,晋R40096F,0.9999999271499085,-1.311301694784106e-06,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000110_plate0.jpg,128,44,18,9,124,40
fenqusai/test_photo/000000125.jpg,0,0,,,0.26182880997657776,green,green,,green,皖E98075D,True,,皖E98075D,0.9984427905647473,-0.028051616628545162,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000125_plate0.jpg,128,47,12,5,127,41
fenqusai/test_photo/000000126.jpg,0,0,,,0.6763911247253418,green,blue,,blue,桂NFS061,True,,桂NFS061,0.9998978558936713,-0.0018386878210776558,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000126_plate0.jpg,112,45,4,7,102,40
fenqusai/test_photo/000000200.jpg,0,0,,,0.7054831981658936,blue,blue,,blue,黑ATFNU0,True,,黑ATFNU0,0.9999893976700164,-0.0001908429513974852,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000200_plate0.jpg,125,48,25,6,117,43
fenqusai/test_photo/000000206.jpg,0,0,,,0.4072892665863037,yellow,yellow,,yellow,晋ME8U5R,True,,晋ME8U5R,0.9585558787988019,-0.7618935604091348,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/000000206_plate0.jpg,128,44,14,8,124,41
fenqusai/test_photo/0302734375-95_254-229&410_508&519-508&519_241&483_229&410_498&439-0_0_5_24_31_24_24_24-105-51.jpg,0,0,皖AF07000,False,0.89874267578125,green,blue,,blue,川AF0700,True,,川AF0700,0.9937069447502255,-0.11363291981467682,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/0302734375-95_254-229&410_508&519-508&519_241&483_229&410_498&439-0_0_5_24_31_24_24_24-105-51_plate0.jpg,377,149,227,410,506,521
fenqusai/test_photo/0348046875-94_241-216&458_513&576-513&576_249&537_216&458_480&480-0_0_5_24_31_24_30_32-69-40.jpg,0,0,皖AF07068,False,0.8878707885742188,green,green,,green,川FQ710N8,True,,川7Q710领8,0.8404895438437321,-3.1278737989967382,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/0348046875-94_241-216&458_513&576-513&576_249&537_216&458_480&480-0_0_5_24_31_24_30_32-69-40_plate0.jpg,406,156,213,457,514,573
fenqusai/test_photo/034921875-97_247-191&443_489&561-489&561_209&516_191&443_477&482-0_0_3_24_30_28_33_32-65-188.jpg,0,0,皖AD06498,False,0.9023666381835938,green,special_7,,special_7,川8领D898,True,,川8领D898,0.8609111572892428,-2.695751376711968,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/034921875-97_247-191&443_489&561-489&561_209&516_191&443_477&482-0_0_3_24_30_28_33_32-65-188_plate0.jpg,405,166,190,443,488,567
fenqusai/test_photo/03671875-106_247-213&385_448&542-448&542_221&459_213&385_443&457-0_0_3_26_30_30_26_33-107-61.jpg,0,0,皖AD26629,False,0.8951187133789062,green,green,,green,川FD28824,True,,川FD28524,0.9097043905695871,-1.7034403999122958,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/03671875-106_247-213&385_448&542-448&542_221&459_213&385_443&457-0_0_3_26_30_30_26_33-107-61_plate0.jpg,329,206,208,385,450,539
fenqusai/test_photo/0369140625-81_260-299&432_569&570-559&507_299&570_300&482_569&432-0_0_3_25_24_24_24_26-93-44.jpg,0,0,皖AD10002,False,0.9023666381835938,green,green,,green,湘AD1444K,True,,湘AD1444临,0.886306248416648,-2.1724692346939776,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/0369140625-81_260-299&432_569&570-559&507_299&570_300&482_569&432-0_0_3_25_24_24_24_26-93-44_plate0.jpg,366,185,294,434,564,572
fenqusai/test_photo/046015625-97_243-180&408_522&543-522&543_208&495_180&408_501&451-0_0_3_24_30_30_33_25-61-79.jpg,0,0,皖AD06691,False,0.8733749389648438,green,special_7,,special_7,川A学临领8领,True,,川学临使领8领警,0.6387158185494725,-8.069321734743426,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/046015625-97_243-180&408_522&543-522&543_208&495_180&408_501&451-0_0_3_24_30_30_33_25-61-79_plate0.jpg,466,181,178,412,523,547
fenqusai/test_photo/049921875-80_275-250&410_534&587-534&506_259&587_250&469_530&410-0_0_3_17_25_25_30_25-128-23.jpg,0,0,皖ADT1161,False,0.89874267578125,green,green,,green,藏KAT1AQ1,True,,藏KA4T1AQ1,0.7668487717996414,-4.778381979073856,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/049921875-80_275-250&410_534&587-534&506_259&587_250&469_530&410-0_0_3_17_25_25_30_25-128-23_plate0.jpg,380,247,255,406,535,591
fenqusai/test_photo/1006.jpg,0,0,,,0.8806228637695312,blue,blue,,blue,黑DYQ565,True,,黑DYQ565,0.9839000881434216,-0.29215662344404336,fenqusai/tools/pipeline/result_p3_crop_safe_v2/crops/1006_plate0.jpg,135,80,140,291,239,351
